book_id,title,authors,language_code,primary_genre,average_rating,ratings_count,item_idx
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,eng,ENG,4.34,4780653,0
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",eng,ENG,4.44,4602479,1
3,"Twilight (Twilight, #1)",Stephenie Meyer,en-US,EN-US,3.57,3866839,2
4,To Kill a Mockingbird,Harper Lee,eng,ENG,4.25,3198671,3
5,The Great Gatsby,F. Scott Fitzgerald,eng,ENG,3.89,2683664,4
6,The Fault in Our Stars,John Green,eng,ENG,4.26,2346404,5
7,The Hobbit,J.R.R. Tolkien,en-US,EN-US,4.25,2071616,6
8,The Catcher in the Rye,J.D. Salinger,eng,ENG,3.79,2044241,7
9,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,en-CA,EN-CA,3.85,2001311,8
10,Pride and Prejudice,Jane Austen,eng,ENG,4.24,2035490,9
11,The Kite Runner,Khaled Hosseini,eng,ENG,4.26,1813044,10
12,"Divergent (Divergent, #1)",Veronica Roth,eng,ENG,4.24,1903563,11
13,1984,"George Orwell, Erich Fromm, Celâl Üster",eng,ENG,4.14,1956832,12
14,Animal Farm,George Orwell,eng,ENG,3.87,1881700,13
15,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",eng,ENG,4.1,1972666,14
16,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",eng,ENG,4.11,1808403,15
17,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,eng,ENG,4.3,1831039,16
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",eng,ENG,4.53,1832823,17
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,eng,ENG,4.34,1766803,18
20,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,eng,ENG,4.03,1719760,19
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",eng,ENG,4.46,1735368,20
22,The Lovely Bones,Alice Sebold,eng,ENG,3.77,1605173,21
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",eng,ENG,4.37,1779331,22
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",eng,ENG,4.53,1753043,23
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",eng,ENG,4.61,1746574,24
26,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,eng,ENG,3.79,1447148,25
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",eng,ENG,4.54,1678823,26
28,Lord of the Flies,William Golding,eng,ENG,3.64,1605019,27
29,Romeo and Juliet,"William Shakespeare, Robert           Jackson",eng,ENG,3.73,1628519,28
30,Gone Girl,Gillian Flynn,eng,ENG,4.03,512475,29
31,The Help,Kathryn Stockett,eng,ENG,4.45,1531753,30
32,Of Mice and Men,John Steinbeck,eng,ENG,3.84,1467496,31
