primary_genre,mean_average_rating,mean_ratings_count,share_of_catalog,share_of_interactions
ENG,4.00746885349314,61063.924617568206,0.6341,0.7094389522660416
EN-US,3.993589371980676,51667.11690821256,0.207,0.1973032951341417
NAN,4.002841328413284,24875.13376383764,0.1084,0.05639106236297325
EN-GB,3.9938521400778213,36907.98832684825,0.0257,0.018697129195969733
ARA,3.8075,16309.796875,0.0064,0.0017640821627583733
EN-CA,3.9372413793103447,83715.27586206897,0.0058,0.007881898355202118
FRE,3.9456,28988.76,0.0025,0.0018095939097251073
IND,4.003809523809524,11424.809523809523,0.0021,0.0004432375651282302
SPA,3.9299999999999997,79192.85,0.002,0.004188586624331818
GER,4.003846153846154,20441.53846153846,0.0013,0.000642016812909407
JPN,4.162857142857143,18165.85714285714,0.0007,0.00019911389297946165
PER,4.134285714285714,4737.285714285715,0.0007,0.00011712581939968332
POL,4.321666666666666,11229.666666666666,0.0006,0.00016079701777585095
POR,3.8633333333333333,16735.833333333332,0.0006,0.00017451747090552815
EN,4.025,21651.0,0.0004,0.00019593476359575597
DAN,4.05,8013.0,0.0003,8.014752498921187e-05
NOR,3.9066666666666667,13702.333333333334,0.0003,0.00016113166297413578
FIL,4.300000000000001,10748.5,0.0002,1.2549194935680356e-05
ITA,4.1,11865.5,0.0002,5.136803793671826e-05
TUR,4.49,19806.0,0.0001,1.1210614142541119e-05
SWE,3.85,6435.0,0.0001,2.1584615289370213e-05
MUL,4.4,11223.0,0.0001,3.262790683276893e-05
RUS,4.13,9287.0,0.0001,1.1210614142541119e-05
RUM,3.92,11079.0,0.0001,1.0708646345113903e-05
NL,4.11,83695.0,0.0001,0.00017016708332782564
VIE,4.05,24907.0,0.0001,2.995074524649045e-05
