book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,primary_genre
7947,5031805,5031805,40769318,96,1433502410,9781433502420.0,"Anonymous, Lane T. Dennis, Wayne A. Grudem",2002,,ESV Study Bible,eng,4.76,8953,10784,262,98,90,367,1152,9077,https://images.gr-assets.com/books/1410151002m/5031805.jpg,https://images.gr-assets.com/books/1410151002s/5031805.jpg,ENG
8854,95602,95602,920037,6,842339523,9780842339520.0,Francine Rivers,1993,Mark of the Lion Trilogy,Mark of the Lion Trilogy,en-US,4.76,9081,9547,731,27,61,323,1363,7773,https://images.gr-assets.com/books/1349032180m/95602.jpg,https://images.gr-assets.com/books/1349032180s/95602.jpg,EN-US
9566,70487,70487,2244439,24,1417642165,9781417642170.0,Bill Watterson,1992,Attack of the Deranged Mutant Killer Monster Snow Goons: A Calvin and Hobbes Collection,Attack of the Deranged Mutant Killer Monster Snow Goons,eng,4.72,9713,12197,233,15,30,514,2292,9346,https://images.gr-assets.com/books/1384735429m/70487.jpg,https://images.gr-assets.com/books/1384735429s/70487.jpg,ENG
9076,2350129,2350129,2356840,5,402366174,9780402366170.0,The Church of Jesus Christ of Latter-day Saints,2004,Preach My Gospel (A Guide to Missionary Service),Preach My Gospel: A Guide To Missionary Service,nan,4.71,9891,10194,206,105,83,463,1365,8178,https://images.gr-assets.com/books/1399612262m/2350129.jpg,https://images.gr-assets.com/books/1399612262s/2350129.jpg,NAN
8978,121792,121792,1429035,20,1417642122,9781417642120.0,Bill Watterson,1991,The Revenge of the Baby-Sat: A Calvin and Hobbes Collection,The Revenge of the Baby-Sat,nan,4.71,11503,12946,206,12,40,570,2428,9896,https://images.gr-assets.com/books/1384734025m/121792.jpg,https://images.gr-assets.com/books/1384734025s/121792.jpg,NAN
9141,9329354,9329354,27679568,19,575097361,9780575097360.0,Brandon Sanderson,2011,"The Way of Kings, Part 1","The Way of Kings, Part 1 (The Stormlight Archive #1.1)",eng,4.67,9792,10117,453,40,93,408,2078,7498,https://images.gr-assets.com/books/1357609842m/9329354.jpg,https://images.gr-assets.com/books/1357609842s/9329354.jpg,ENG
8946,46292,46292,45423,91,9646534783,9789646534780.0,Hafez,,دیوان‎‎ [Dīvān],The Divan,eng,4.63,2773,6323,286,89,116,384,872,4862,https://images.gr-assets.com/books/1327770153m/46292.jpg,https://images.gr-assets.com/books/1327770153s/46292.jpg,ENG
9806,6801614,6801614,7008132,18,1421534541,9781421534540.0,Eiichirō Oda,2005,ONE PIECE 38,"One Piece, Volume 38: Rocketman!! (One Piece, #38)",nan,4.63,8441,8706,34,61,112,589,1435,6509,https://images.gr-assets.com/books/1397155647m/6801614.jpg,https://images.gr-assets.com/books/1397155647s/6801614.jpg,NAN
7883,47697,47697,534309,4,811835928,9780811835920.0,"Alisa Kwitney, Neil Gaiman",2003,The Sandman: King of Dreams,The Sandman: King of Dreams,eng,4.61,11538,11541,30,75,142,724,2342,8258,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,ENG
7945,7025086,7025086,7272274,3,785135820,9780785135820.0,"Christopher Yost, Pasqual Ferry, Orson Scott Card",2010,,"Ender's Game, Volume 2: Command School",en-US,4.6,11585,11653,50,76,123,791,2419,8244,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,EN-US
