metric,group,group_value,value
p10,region,EMEA,0.0002399520095980804
r10,region,EMEA,0.00016461517396624493
ndcg10,region,EMEA,0.00024046319198652063
p10,region,AMER,0.00027002700270027
r10,region,AMER,0.00025394534713113633
ndcg10,region,AMER,0.0002794535973596285
p10,region,APAC,0.00021002100210021002
r10,region,APAC,0.00019463651326837643
ndcg10,region,APAC,0.00022762577698412208
ndcg10,region,gap,5.182782037550641e-05
p10,region,gap,6.0006000600059994e-05
r10,region,gap,8.93301731648914e-05
p10,genre,ENG,0.00016017619381319452
r10,genre,ENG,0.00019178202805192495
ndcg10,genre,ENG,0.00018075378060010785
p10,genre,EN-US,6.868918145392101e-05
r10,genre,EN-US,0.0002461362335432169
ndcg10,genre,EN-US,0.00012030002654910015
p10,genre,FRE,0.0
r10,genre,FRE,0.0
ndcg10,genre,FRE,0.0
p10,genre,SPA,0.0
r10,genre,SPA,0.0
ndcg10,genre,SPA,0.0
p10,genre,DAN,0.0
r10,genre,DAN,0.0
ndcg10,genre,DAN,0.0
p10,genre,UNKNOWN,2.156566745740781e-05
r10,genre,UNKNOWN,7.188555819135935e-05
ndcg10,genre,UNKNOWN,6.385204032043675e-05
p10,genre,EN-GB,0.0
r10,genre,EN-GB,0.0
ndcg10,genre,EN-GB,0.0
p10,genre,EN-CA,0.00012453300124533
r10,genre,EN-CA,0.0012453300124533001
ndcg10,genre,EN-CA,0.0007857157578723008
p10,genre,POR,0.0
r10,genre,POR,0.0
ndcg10,genre,POR,0.0
p10,genre,NOR,0.0
r10,genre,NOR,0.0
ndcg10,genre,NOR,0.0
p10,genre,PER,0.0
r10,genre,PER,0.0
ndcg10,genre,PER,0.0
p10,genre,GER,0.0
r10,genre,GER,0.0
ndcg10,genre,GER,0.0
p10,genre,NL,0.0
r10,genre,NL,0.0
ndcg10,genre,NL,0.0
p10,genre,EN,0.0
r10,genre,EN,0.0
ndcg10,genre,EN,0.0
p10,genre,VIE,0.0
r10,genre,VIE,0.0
ndcg10,genre,VIE,0.0
p10,genre,IND,0.0
r10,genre,IND,0.0
ndcg10,genre,IND,0.0
p10,genre,POL,0.0
r10,genre,POL,0.0
ndcg10,genre,POL,0.0
p10,genre,RUS,0.0
r10,genre,RUS,0.0
ndcg10,genre,RUS,0.0
p10,genre,ARA,0.0
r10,genre,ARA,0.0
ndcg10,genre,ARA,0.0
p10,genre,ITA,0.0
r10,genre,ITA,0.0
ndcg10,genre,ITA,0.0
p10,genre,JPN,0.0
r10,genre,JPN,0.0
ndcg10,genre,JPN,0.0
p10,genre,SWE,0.0
r10,genre,SWE,0.0
ndcg10,genre,SWE,0.0
p10,genre,MUL,0.0
r10,genre,MUL,0.0
ndcg10,genre,MUL,0.0
ndcg10,genre,gap,0.0007857157578723008
p10,genre,gap,0.00016017619381319452
r10,genre,gap,0.0012453300124533001
